id,matching_algo,proposed_action,agent_name_rm,address_rm,agent_name_zl,address_zl,shared_property_count
7,MANUAL,null_zl_side,Paul Dubberley & Co,"290 High Street, West Bromwich, B70 8EN",Paul Dubberley Estate Agents - West Bromwich,"Victoria House, 290-292 High Street, West Bromwich",64
10,MANUAL,null_zl_side,Paul Dubberley & Co,"73 Great Bridge, Great Bridge, Tipton, DY4 7HF",Paul Dubberley Estate Agents - Great Bridge,"73 Great Bridge, Tipton",74
15,MANUAL,null_zl_side,Paul Dubberley & Co,"Paul Dubberley & Co, Great Bridge",Paul Dubberley Estate Agents - Great Bridge,"73 Great Bridge, Tipton",2
16,MANUAL,null_zl_side,Paul Dubberley & Co,"Paul Dubberley & Co, West Bromwich",Paul Dubberley Estate Agents - West Bromwich,"Victoria House, 290-292 High Street, West Bromwich",0
24,MANUAL,null_zl_side,Paul Dubberley & Co Lettings,"Paul Dubberley & Co Lettings, West Bromwich",Paul Dubberley Estate Agents - West Bromwich,"Victoria House, 290-292 High Street, West Bromwich",0
29,MANUAL,null_zl_side,Bower House Bath Ltd,"Bower House Bath Ltd, Bath",Bowerhouse,"4 Bladud Buildings, Bath, BATH",1
45,MANUAL,null_zl_side,Zhang property investment service UK limited,Bournemouth,Zhang Property Investment Services Ltd,"109 Carbery Avenue, Bournemouth",6
48,MANUAL,null_zl_side,St Quintin Estate Agents,"14 Victoria Road, Ferndown, BH22 9HZ",STQ Property Group,"14 Victoria Road, Ferndown",15
50,MANUAL,null_zl_side,Lovett Estate & Lettings Agents,"Lovett Estate & Lettings Agents, Poole",Lovett Estate & Letting Agents â Poole,"241 Ashley Road, Poole",2
52,MANUAL,null_zl_side,Burkmars Estate Agents,"Burkmars Estate Agents, Lymington",Burkmar Estate Agents,"35A High Street, Lymington",76
62,MANUAL,null_zl_side,Glyn-Jones & Co,"Glyn-Jones & Co, Rustington",Glyn Jones - Rustington,"94 The Street, Rustington, Littlehampton",2
64,MANUAL,null_zl_side,Glyn-Jones & Co,"Glyn-Jones & Co, Rustington Covering West Sussex",Glyn Jones - Rustington,"94 The Street, Rustington, Littlehampton",0
65,MANUAL,null_zl_side,Glyn-Jones & Co,"Glyn-Jones & Co, Yapton",Glyn Jones - Yapton,"Brow Cottage, Main Road, Yapton",43
67,MANUAL,null_zl_side,Stone Estate Agency,"23 Croydon Road, Reigate, RH2 0LY",Stone Reigate Limited,"23 Croydon Road, Reigate,",4
74,MANUAL,null_zl_side,Kenton,"Kenton, Orpington",Kentons,"316 High Street, Orpington",31
77,MANUAL,null_zl_side,Purpleproperty,"Purpleproperty, Gillingham",Purple Property,"428 Canterbury Street, Gillingham",127
